problem,N,POP_SIZE,threads,avg_ms_par,best_fitness_last_run,avg_ms_ser,speedup,efficiency
Rastrigin,100,500,2,525.2,0.0,813.6,1.549124143183549,0.7745620715917745
Rastrigin,100,500,4,322.0,0.0,813.6,2.5267080745341617,0.6316770186335404
Rastrigin,100,500,8,318.2,0.0,813.6,2.5568824638592083,0.31961030798240103
Rastrigin,100,500,16,218.0,0.0,813.6,3.7321100917431194,0.23325688073394496
Rastrigin,100,500,20,210.6,0.0,813.6,3.8632478632478633,0.19316239316239317
Rastrigin,100,1000,2,1034.8,0.0,1622.4,1.5678391959798996,0.7839195979899498
Rastrigin,100,1000,4,612.4,0.0,1622.4,2.649248856956238,0.6623122142390595
Rastrigin,100,1000,8,593.0,0.0,1622.4,2.735919055649241,0.34198988195615515
Rastrigin,100,1000,16,392.6,0.0,1622.4,4.132450331125828,0.2582781456953642
Rastrigin,100,1000,20,362.0,0.0,1622.4,4.481767955801105,0.22408839779005527
Rastrigin,500,50,2,272.8,3.63798e-12,415.8,1.5241935483870968,0.7620967741935484
Rastrigin,500,50,4,173.8,3.63798e-12,415.8,2.392405063291139,0.5981012658227848
Rastrigin,500,50,8,186.8,3.63798e-12,415.8,2.2259100642398284,0.27823875802997855
Rastrigin,500,50,16,147.4,3.63798e-12,415.8,2.8208955223880596,0.17630597014925373
Rastrigin,500,50,20,146.0,3.63798e-12,415.8,2.8479452054794523,0.14239726027397262
Rastrigin,500,100,2,529.8,1.81899e-12,831.6,1.5696489241223104,0.7848244620611552
Rastrigin,500,100,4,335.6,1.81899e-12,831.6,2.477949940405244,0.619487485101311
Rastrigin,500,100,8,337.2,1.81899e-12,831.6,2.4661921708185055,0.3082740213523132
Rastrigin,500,100,16,233.8,1.81899e-12,831.6,3.55688622754491,0.22230538922155688
Rastrigin,500,100,20,234.2,1.81899e-12,831.6,3.550811272416738,0.1775405636208369
Rastrigin,500,200,2,1050.2,0.0,1680.6,1.6002666158826888,0.8001333079413444
Rastrigin,500,200,4,640.6,0.0,1680.6,2.6234779893849516,0.6558694973462379
Rastrigin,500,200,8,608.8,0.0,1680.6,2.7605124835742445,0.34506406044678056
Rastrigin,500,200,16,411.2,0.0,1680.6,4.087062256809339,0.25544139105058367
Rastrigin,500,200,20,370.6,0.0,1680.6,4.534808418780355,0.22674042093901775
Rastrigin,500,500,2,2934.4,0.0,4314.8,1.4704198473282444,0.7352099236641222
Rastrigin,500,500,4,2142.0,0.0,4314.8,2.01437908496732,0.50359477124183
Rastrigin,500,500,8,2704.6,0.0,4314.8,1.5953560600458478,0.19941950750573098
Rastrigin,500,500,16,1665.6,0.0,4314.8,2.590537944284342,0.16190862151777138
Rastrigin,500,500,20,1341.0,0.0,4314.8,3.217598806860552,0.1608799403430276
Rastrigin,500,1000,2,5102.2,0.0,8407.6,1.6478381874485517,0.8239190937242759
Rastrigin,500,1000,4,3102.0,0.0,8407.6,2.710380399742102,0.6775950999355255
Rastrigin,500,1000,8,3283.0,0.0,8407.6,2.5609503502893696,0.3201187937861712
Rastrigin,500,1000,16,2580.0,0.0,8407.6,3.258759689922481,0.20367248062015506
Rastrigin,500,1000,20,1995.2,0.0,8407.6,4.213913392141139,0.21069566960705693
Rastrigin,1000,50,2,551.0,1.70785e-08,865.2,1.570235934664247,0.7851179673321235
Rastrigin,1000,50,4,353.4,1.70785e-08,865.2,2.448217317487267,0.6120543293718167
