impl,limit_train,Ndata,D,K,POP_SIZE,max_iters,avg_ms,best_sse,mnist_load_ms,setup_only_ms,avg_setup_problem_ms,avg_update_pop_excl_ms,avg_update_fitness_excl_ms,avg_fitness_batch_excl_ms,avg_fitness_scalar_ms,avg_fitness_calls
serial,5000,5000,784,10,25,100,42869,349735,13,0,1,161,30,1791,40843,2525
serial,5000,5000,784,10,50,100,85776,337031,13,0,1,308,68,3578,81770,5050
serial,5000,5000,784,10,100,100,171075,324942,13,0,2,606,154,7427,162837,10100
serial,5000,5000,784,10,200,100,347664,313400,13,0,5,1247,332,12367,333666,20200
serial,500,500,784,10,25,100,4479,33295.4,1,0,0,132,21,1733,2527,2525
serial,500,500,784,10,50,100,8879,31871.1,1,0,1,302,17,3441,5050,5050
serial,500,500,784,10,100,100,17743,31265.9,1,0,2,601,107,6875,10100,10100
serial,500,500,784,10,200,100,35530,30296.5,1,0,5,1213,289,13771,20200,20200
