impl,limit_train,Ndata,D,K,NDIM,POP_SIZE,max_iters,runs,avg_ms,best_sse,device
cuda,1000,1000,784,10,7840,32,100,1,1247,69657.3,NVIDIA GeForce RTX 3050 Ti Laptop GPU
cuda,1000,1000,784,10,7840,128,100,1,4677,63052.5,NVIDIA GeForce RTX 3050 Ti Laptop GPU
cuda,1000,1000,784,10,7840,512,100,1,18297,59973.5,NVIDIA GeForce RTX 3050 Ti Laptop GPU
cuda,5000,5000,784,10,7840,32,100,1,17125,351585,NVIDIA GeForce RTX 3050 Ti Laptop GPU
cuda,5000,5000,784,10,7840,128,100,1,76591,320820,NVIDIA GeForce RTX 3050 Ti Laptop GPU
cuda,5000,5000,784,10,7840,512,100,1,308736,306990,NVIDIA GeForce RTX 3050 Ti Laptop GPU
